Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
147;0,054646;0,123853;0,218389;0,276255;0,312142;0,341784;0,369479;0,386659;0,396924;0,409947;0,451777;0,506465;0,328721
148;-1,000000;0,019876;0,238289;0,286105;0,315634;0,343691;0,366056;0,386938;0,397970;0,406927;0,441775;0,506465;0,320326
149;-1,000000;0,029379;0,235747;0,275623;0,313934;0,341538;0,358674;0,380580;0,394191;0,405070;0,441857;0,506465;0,317659
150;-1,000000;0,024510;0,224418;0,258313;0,296584;0,334751;0,366148;0,386402;0,397722;0,410728;0,452431;0,506465;0,315201
151;0,052614;0,141930;0,225226;0,265507;0,304555;0,339376;0,359863;0,386451;0,394749;0,403302;0,440282;0,506465;0,326124
152;0,035171;0,135245;0,209904;0,252681;0,294191;0,332906;0,354601;0,382975;0,394424;0,403191;0,438734;0,506465;0,319885
153;-1,000000;0,057223;0,204567;0,243341;0,271015;0,311425;0,336380;0,355486;0,386018;0,398765;0,439462;0,506465;0,300368
154;-1,000000;-0,060835;0,198788;0,248558;0,296852;0,325442;0,343862;0,371497;0,389831;0,402010;0,434541;0,506465;0,295055
155;0,022216;0,109450;0,213181;0,260541;0,310320;0,334006;0,351083;0,375174;0,393119;0,403229;0,439692;0,506465;0,318980
156;-1,000000;0,071025;0,233792;0,281694;0,320759;0,334832;0,357943;0,382585;0,397375;0,407886;0,445421;0,506465;0,323331
157;0,027221;0,110915;0,238501;0,278191;0,317302;0,335875;0,362782;0,389275;0,404413;0,417777;0,454974;0,506465;0,331001
158;0,061172;0,177280;0,250557;0,292979;0,328312;0,352518;0,378819;0,396676;0,407310;0,425399;0,460731;0,506465;0,347058
159;-1,000000;0,102556;0,242807;0,285494;0,319014;0,333513;0,352794;0,383227;0,398888;0,415488;0,453158;0,506465;0,328694
160;-1,000000;0,015301;0,230240;0,282080;0,319046;0,336474;0,356285;0,386975;0,400628;0,418123;0,453235;0,506465;0,319839
161;0,054553;0,126809;0,225556;0,291597;0,318947;0,334941;0,358519;0,381563;0,398350;0,419075;0,458603;0,506465;0,331396
162;-1,000000;0,077682;0,225812;0,286810;0,319605;0,335853;0,368328;0,390040;0,405743;0,420422;0,454580;0,506465;0,328488
163;0,049843;0,147010;0,240232;0,302052;0,326974;0,342198;0,369163;0,392248;0,407539;0,425265;0,465590;0,506465;0,341827
164;0,054501;0,160170;0,249445;0,304379;0,331497;0,354501;0,380706;0,396287;0,413429;0,432842;0,469943;0,506465;0,349320
165;-1,000000;0,102805;0,239542;0,288352;0,325398;0,346110;0,369626;0,391749;0,409246;0,426071;0,463724;0,506465;0,336262
166;-1,000000;0,065613;0,248820;0,304562;0,343624;0,370523;0,385403;0,401665;0,415854;0,429043;0,464360;0,506465;0,342947
167;0,052297;0,154324;0,240552;0,297773;0,326620;0,360663;0,382949;0,401501;0,416895;0,428257;0,468560;0,506465;0,347809
168;0,077322;0,166213;0,231253;0,299575;0,330312;0,360256;0,382923;0,406332;0,418461;0,436298;0,481186;0,506465;0,351281
169;0,068963;0,160275;0,228795;0,289466;0,337104;0,370602;0,386011;0,407396;0,420754;0,436186;0,468553;0,506465;0,350514
170;0,068963;0,153229;0,237688;0,305440;0,352594;0,379171;0,393942;0,406649;0,419591;0,433568;0,468761;0,506465;0,355063
171;0,072563;0,158621;0,251843;0,318954;0,360966;0,384350;0,399225;0,413575;0,422713;0,433140;0,467851;0,506465;0,361124
172;-1,000000;0,096581;0,270053;0,320061;0,353280;0,377962;0,398336;0,410937;0,420596;0,431306;0,461866;0,506465;0,354098
173;0,027221;0,138298;0,256684;0,330192;0,371371;0,390542;0,404753;0,416056;0,424624;0,436809;0,466245;0,506465;0,363557
174;-1,000000;0,082516;0,285424;0,358475;0,386742;0,401561;0,412832;0,420861;0,430346;0,447417;0,478681;0,506465;0,370486
175;0,022216;0,124950;0,263144;0,340197;0,377071;0,394402;0,406055;0,420230;0,429489;0,443464;0,472852;0,506465;0,367185
176;0,022216;0,181100;0,308470;0,360195;0,379286;0,393316;0,410332;0,422963;0,429964;0,443301;0,479232;0,506465;0,380816
177;0,022216;0,220362;0,312447;0,364214;0,379050;0,391333;0,404959;0,422169;0,431401;0,448097;0,486992;0,506465;0,386102
178;0,049843;0,240149;0,314506;0,364292;0,384499;0,398467;0,410128;0,422782;0,431020;0,445459;0,484425;0,506465;0,389573
179;-1,000000;0,192112;0,330629;0,374460;0,395061;0,402664;0,417950;0,426010;0,434029;0,445991;0,481608;0,506465;0,390051
180;0,156627;0,252600;0,342443;0,385275;0,399120;0,409071;0,421865;0,427359;0,436058;0,449654;0,482754;0,506465;0,400620
181;0,113357;0,251476;0,348064;0,387912;0,399196;0,409541;0,419909;0,426140;0,433605;0,448916;0,478687;0,506465;0,400344
182;-1,000000;0,180760;0,356858;0,394025;0,399669;0,410174;0,420998;0,426453;0,432398;0,447325;0,479281;0,506465;0,394794
183;0,186974;0,265908;0,374631;0,397130;0,400196;0,409703;0,419842;0,425879;0,430476;0,444083;0,471569;0,506465;0,403942
184;0,165662;0,283829;0,378672;0,398965;0,399921;0,410637;0,418487;0,423157;0,428202;0,440123;0,473106;0,506465;0,405510
185;0,014417;0,254533;0,365519;0,398249;0,399666;0,413018;0,421021;0,426076;0,431572;0,447224;0,478928;0,506465;0,403581
186;0,125805;0,263129;0,368604;0,397691;0,399812;0,413530;0,421203;0,426666;0,434916;0,451487;0,484176;0,506465;0,406121
187;0,154777;0,249168;0,354024;0,387570;0,399393;0,403571;0,419624;0,424219;0,434170;0,450568;0,482436;0,506465;0,400474
188;0,122513;0,195351;0,337868;0,385747;0,399159;0,404281;0,419942;0,423317;0,429809;0,445988;0,481286;0,506465;0,392275
189;-1,000000;0,175720;0,342898;0,380262;0,398151;0,406330;0,418201;0,422373;0,428916;0,446151;0,482884;0,506465;0,390189
190;0,151029;0,241969;0,348250;0,387799;0,399196;0,409665;0,419729;0,424956;0,435796;0,452751;0,482037;0,506465;0,400215
191;0,122513;0,267148;0,364774;0,392606;0,401291;0,413706;0,421149;0,428808;0,442829;0,452164;0,481072;0,506465;0,406555
192;-1,000000;0,175358;0,333707;0,375922;0,397429;0,411032;0,418929;0,426591;0,440926;0,451076;0,474922;0,506465;0,390589
193;0,122513;0,258750;0,355540;0,390502;0,402358;0,413041;0,420895;0,429718;0,442397;0,451043;0,469933;0,506465;0,403418
194;0,047265;0,197800;0,342238;0,385992;0,402045;0,413189;0,419581;0,427428;0,437611;0,449739;0,469712;0,506465;0,394533
195;0,104808;0,264314;0,367374;0,396445;0,410146;0,419024;0,424331;0,430357;0,439214;0,451198;0,471491;0,506465;0,407389
196;0,104808;0,252459;0,347874;0,380775;0,405333;0,415338;0,421146;0,427117;0,436051;0,452061;0,469554;0,506465;0,400771
197;-1,000000;0,198712;0,347975;0,381501;0,406351;0,416859;0,422199;0,428964;0,439642;0,453363;0,471428;0,506465;0,396699
198;0,147213;0,275150;0,343992;0,380317;0,401511;0,413456;0,419675;0,426736;0,438669;0,452733;0,469806;0,506465;0,402205
199;0,041650;0,263169;0,334258;0,372862;0,397647;0,412364;0,423569;0,432085;0,441334;0,454693;0,470369;0,506465;0,400235
