Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best
124;0,272000;0,355840;0,440400;0,536640;0,606000;0,641360;0,672960;0,710800;0,798000;0,851840;0,900000;0,936000
125;0,272000;0,366080;0,450640;0,542800;0,617360;0,651600;0,679120;0,715360;0,797440;0,853120;0,899040;0,936000
126;0,272000;0,364160;0,457200;0,550080;0,623280;0,655040;0,680080;0,728000;0,802640;0,855840;0,899120;0,936000
127;0,272000;0,346960;0,452080;0,550400;0,625680;0,657600;0,682800;0,735600;0,799120;0,847520;0,896800;0,936000
128;0,272000;0,347760;0,462320;0,568880;0,629920;0,660240;0,687360;0,744240;0,803680;0,850240;0,895360;0,936000
129;0,272000;0,359840;0,473920;0,577760;0,626480;0,656240;0,680240;0,720720;0,786720;0,845120;0,893680;0,936000
130;0,272000;0,367600;0,477680;0,571360;0,621920;0,652160;0,674240;0,711120;0,780320;0,839600;0,888480;0,936000
131;0,272000;0,359760;0,484480;0,570400;0,619120;0,651680;0,678880;0,725440;0,789440;0,841760;0,889680;0,936000
132;0,272000;0,355440;0,472960;0,553280;0,608320;0,643040;0,667840;0,706560;0,770400;0,833360;0,887840;0,936000
133;0,272000;0,361760;0,470080;0,552000;0,608240;0,642880;0,670640;0,711440;0,769840;0,833360;0,891120;0,936000
134;0,272000;0,356560;0,471680;0,555200;0,609760;0,642160;0,669920;0,711760;0,773760;0,831120;0,891360;0,936000
135;0,272000;0,352560;0,472400;0,562800;0,612960;0,647760;0,679280;0,730720;0,786240;0,836320;0,891040;0,936000
136;0,272000;0,354480;0,469520;0,553600;0,604320;0,643520;0,676240;0,732480;0,786400;0,832080;0,888480;0,936000
137;0,272000;0,353520;0,470000;0,549760;0,603600;0,641600;0,673760;0,723120;0,785440;0,832560;0,888640;0,936000
138;0,272000;0,361200;0,478080;0,558000;0,615520;0,650560;0,684720;0,738240;0,790400;0,833600;0,889760;0,936000
139;0,272000;0,346800;0,463040;0,541920;0,610560;0,646640;0,679360;0,724000;0,782480;0,829840;0,889360;0,936000
140;0,272000;0,358880;0,479360;0,556080;0,621040;0,656400;0,689680;0,737840;0,788240;0,831600;0,888240;0,936000
141;0,272000;0,344080;0,455440;0,530160;0,601680;0,649760;0,683600;0,722720;0,780000;0,827440;0,888720;0,936000
142;0,272000;0,342480;0,456000;0,529600;0,603120;0,646320;0,679680;0,719040;0,778640;0,827360;0,886080;0,936000
143;0,272000;0,353200;0,473200;0,552320;0,615520;0,655040;0,684160;0,722560;0,781840;0,831920;0,892960;0,944000
144;0,272000;0,353840;0,482720;0,560960;0,614480;0,654640;0,684240;0,726800;0,781760;0,831360;0,888640;0,944000
145;0,272000;0,342320;0,459520;0,540800;0,602160;0,644640;0,676320;0,716960;0,777200;0,830160;0,886960;0,944000
146;0,272000;0,339280;0,455040;0,525600;0,592000;0,637440;0,673280;0,716160;0,780000;0,832320;0,888800;0,944000
147;0,272000;0,350400;0,471360;0,550160;0,605840;0,651120;0,684240;0,730640;0,786880;0,833360;0,887280;0,944000
148;0,272000;0,347360;0,473280;0,551280;0,601360;0,645120;0,680160;0,726720;0,784640;0,830160;0,887680;0,944000
149;0,272000;0,358560;0,478400;0,554080;0,607680;0,653840;0,685840;0,726240;0,782240;0,827840;0,885360;0,944000
150;0,272000;0,345920;0,464160;0,544400;0,603440;0,653040;0,682560;0,719840;0,772400;0,822480;0,881360;0,944000
151;0,272000;0,340240;0,459280;0,539920;0,604880;0,649680;0,683040;0,719680;0,774000;0,823680;0,882560;0,944000
152;0,272000;0,352080;0,468400;0,548880;0,608640;0,652480;0,685760;0,725840;0,776960;0,826400;0,884080;0,944000
153;0,272000;0,354560;0,465840;0,537440;0,597040;0,644320;0,682800;0,722480;0,769520;0,818960;0,883280;0,944000
154;0,272000;0,349680;0,460720;0,540400;0,595360;0,642560;0,681520;0,718640;0,769360;0,822080;0,887200;0,944000
155;0,272000;0,354480;0,462800;0,540000;0,603200;0,649360;0,683920;0,721200;0,773600;0,824400;0,890800;0,944000
156;0,272000;0,340080;0,456640;0,532080;0,598080;0,645920;0,683440;0,721360;0,769040;0,816320;0,886880;0,944000
157;0,272000;0,345600;0,462160;0,538960;0,604320;0,650960;0,685360;0,724000;0,775120;0,821200;0,888720;0,944000
158;0,272000;0,362480;0,481600;0,550240;0,611440;0,653680;0,687040;0,728880;0,779360;0,821520;0,887680;0,944000
159;0,272000;0,368320;0,473360;0,541920;0,603040;0,644880;0,683120;0,731920;0,781760;0,826960;0,892880;0,944000
160;0,272000;0,347920;0,455840;0,538240;0,603680;0,649200;0,689680;0,734640;0,781120;0,827440;0,893440;0,944000
161;0,272000;0,344080;0,454480;0,530720;0,600960;0,654320;0,692960;0,735360;0,780160;0,827040;0,894160;0,960000
162;0,272000;0,352000;0,472000;0,554720;0,616480;0,660240;0,693840;0,735360;0,783760;0,831440;0,894000;0,960000
163;0,272000;0,332480;0,458880;0,539600;0,602000;0,657040;0,692880;0,734160;0,784160;0,829440;0,890640;0,960000
164;0,272000;0,333680;0,456320;0,537600;0,596720;0,650720;0,690720;0,733680;0,784080;0,834320;0,893040;0,960000
165;0,272000;0,346560;0,457120;0,538800;0,604960;0,664480;0,705680;0,750640;0,797920;0,840400;0,895680;0,960000
166;0,272000;0,348800;0,470080;0,556880;0,619120;0,666000;0,702480;0,752320;0,802080;0,844960;0,897280;0,960000
167;0,272000;0,335120;0,461200;0,545920;0,605440;0,657280;0,704880;0,761920;0,808240;0,848640;0,897680;0,960000
168;0,272000;0,358720;0,488880;0,574080;0,623840;0,671280;0,713440;0,764400;0,810480;0,847680;0,897280;0,960000
169;0,272000;0,356640;0,493840;0,570800;0,619840;0,670560;0,714320;0,764960;0,810080;0,849520;0,900080;0,960000
170;0,272000;0,365600;0,495280;0,569840;0,624480;0,673280;0,722320;0,771280;0,811920;0,849680;0,902080;0,960000
171;0,272000;0,372160;0,493840;0,568720;0,621440;0,665680;0,710560;0,761440;0,808160;0,851360;0,904400;0,960000
172;0,272000;0,367920;0,499600;0,574160;0,626480;0,669520;0,708400;0,756400;0,803520;0,849840;0,901600;0,960000
173;0,272000;0,357680;0,492320;0,571600;0,630160;0,670240;0,709280;0,755040;0,803200;0,851040;0,904720;0,960000
174;0,272000;0,357680;0,482160;0,553200;0,620240;0,671600;0,711040;0,750720;0,795680;0,845440;0,900160;0,960000
175;0,272000;0,356960;0,485840;0,558960;0,622160;0,670640;0,711280;0,751040;0,801360;0,853040;0,904880;0,960000
176;0,272000;0,365200;0,491840;0,574240;0,629760;0,675920;0,718240;0,764720;0,810880;0,854240;0,907440;0,960000
177;0,272000;0,378720;0,504000;0,585680;0,642160;0,681760;0,721680;0,764880;0,811760;0,851840;0,904240;0,960000
178;0,272000;0,362240;0,499040;0,584400;0,636720;0,678080;0,719280;0,763360;0,807840;0,848720;0,902400;0,960000
179;0,272000;0,361920;0,499440;0,589440;0,642480;0,682640;0,728080;0,772560;0,812560;0,853600;0,904000;0,960000
180;0,272000;0,355040;0,495840;0,578160;0,631280;0,675200;0,713760;0,761200;0,808880;0,852720;0,905360;0,960000
181;0,272000;0,354800;0,478400;0,573440;0,630480;0,674160;0,707600;0,759280;0,806880;0,851760;0,903120;0,960000
182;0,272000;0,381520;0,503840;0,587760;0,643040;0,681920;0,721520;0,778320;0,820560;0,856720;0,905600;0,960000
183;0,272000;0,391360;0,521360;0,594560;0,644480;0,681760;0,722160;0,778720;0,820640;0,857600;0,905120;0,960000
184;0,272000;0,370320;0,512160;0,589040;0,641600;0,685200;0,732960;0,782880;0,820960;0,855360;0,903600;0,960000
185;0,272000;0,339040;0,495680;0,583600;0,637760;0,680480;0,722960;0,772400;0,812480;0,847200;0,897840;0,960000
186;0,272000;0,348880;0,488720;0,584640;0,638480;0,678480;0,718080;0,767520;0,811920;0,847280;0,898400;0,960000
187;0,272000;0,347840;0,478880;0,556240;0,619120;0,670400;0,714080;0,761280;0,803040;0,840960;0,892720;0,960000
188;0,272000;0,340400;0,488400;0,569600;0,629840;0,672000;0,713280;0,758720;0,801120;0,842560;0,893440;0,960000
189;0,272000;0,344960;0,493520;0,573200;0,628320;0,674480;0,721920;0,766000;0,811600;0,848640;0,898160;0,960000
190;0,272000;0,371680;0,505280;0,580480;0,639680;0,688480;0,734640;0,783600;0,822480;0,852240;0,900080;0,960000
191;0,280000;0,369520;0,498480;0,579840;0,642560;0,688000;0,736800;0,782000;0,820960;0,849840;0,900080;0,960000
192;0,272000;0,366720;0,503040;0,590640;0,655280;0,701760;0,749760;0,787840;0,824720;0,857360;0,903920;0,960000
193;0,272000;0,354480;0,507040;0,597040;0,651520;0,698720;0,747600;0,787920;0,823200;0,858400;0,904480;0,960000
194;0,272000;0,371520;0,524800;0,609440;0,662160;0,706560;0,757280;0,796480;0,827920;0,857760;0,903680;0,960000
195;0,272000;0,395680;0,541680;0,620160;0,670560;0,725680;0,772000;0,807120;0,833520;0,862320;0,904160;0,960000
196;0,272000;0,392960;0,532480;0,613360;0,667280;0,717760;0,766880;0,802240;0,830000;0,859440;0,902720;0,960000
