Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
80;-1,000000;-0,747541;0,119692;0,253488;0,348346;0,403129;0,463691;0,490606;0,516152;0,536932;0,692599;0,904044;0,307710
81;-1,000000;-0,771322;0,120485;0,255245;0,339166;0,394379;0,448325;0,479908;0,508426;0,532304;0,693508;0,904044;0,300042
82;-1,000000;-0,512633;0,182714;0,316821;0,374555;0,416293;0,451720;0,477190;0,502637;0,530235;0,687496;0,904044;0,342703
83;-1,000000;-0,764596;0,135431;0,286056;0,364056;0,408963;0,442050;0,469448;0,496224;0,527233;0,692979;0,928059;0,305784
84;-1,000000;-0,544706;0,142109;0,283937;0,350005;0,397013;0,431997;0,466950;0,503348;0,531447;0,726204;0,928059;0,328831
85;-1,000000;-0,612749;0,168652;0,300685;0,360598;0,400125;0,431343;0,463811;0,496981;0,533908;0,771948;0,928059;0,331530
86;-1,000000;-0,698331;0,131805;0,252406;0,332100;0,381722;0,421804;0,452693;0,487345;0,537538;0,789311;0,928059;0,308839
87;-1,000000;-0,980458;0,085270;0,192531;0,304395;0,378368;0,424957;0,460874;0,497792;0,540019;0,796305;0,928059;0,270006
88;-1,000000;-0,682162;0,104049;0,203649;0,295991;0,368284;0,420419;0,451713;0,488472;0,530225;0,734617;0,928059;0,291526
89;-1,000000;-0,799322;0,111565;0,230508;0,332125;0,397585;0,436309;0,470231;0,511540;0,543346;0,777076;0,928059;0,301096
90;-1,000000;-0,789752;0,131520;0,241993;0,337846;0,394697;0,439790;0,479646;0,515959;0,537466;0,762108;0,928059;0,305127
91;-1,000000;-0,475631;0,163462;0,270926;0,367631;0,427644;0,460108;0,497849;0,521668;0,564645;0,809880;0,928059;0,360818
92;-1,000000;-0,501808;0,156878;0,251597;0,366296;0,432309;0,462560;0,494763;0,518912;0,585481;0,814590;0,928155;0,358158
93;-1,000000;-0,970166;0,126431;0,199820;0,343729;0,429437;0,462719;0,496915;0,517721;0,563453;0,811870;0,928155;0,298193
94;-1,000000;-0,801293;0,106840;0,183120;0,320507;0,410188;0,458108;0,497842;0,525963;0,591177;0,821739;0,928431;0,311419
95;-1,000000;-0,698439;0,127032;0,230969;0,360011;0,442384;0,478570;0,505669;0,535287;0,612861;0,827127;0,928431;0,342147
96;-1,000000;-0,610380;0,142461;0,277041;0,379117;0,443590;0,478659;0,502912;0,532227;0,601947;0,813638;0,928431;0,356121
97;-1,000000;-0,734633;0,134332;0,277287;0,380736;0,446086;0,474373;0,500413;0,525974;0,576455;0,782648;0,928431;0,336367
98;-1,000000;-0,661174;0,171654;0,305424;0,410361;0,462645;0,493560;0,518945;0,545854;0,608399;0,794846;0,928431;0,365051
99;-1,000000;-0,630040;0,141872;0,268619;0,388926;0,454093;0,496206;0,519757;0,545207;0,595748;0,793447;0,928431;0,357384
100;-1,000000;-0,636852;0,157437;0,273378;0,385225;0,449709;0,492277;0,517536;0,543537;0,602520;0,796774;0,940507;0,358154
101;-1,000000;-0,730547;0,137895;0,277869;0,372008;0,434884;0,476546;0,509588;0,534350;0,587955;0,774673;0,940507;0,337522
102;-1,000000;-0,608173;0,142674;0,264543;0,355045;0,425826;0,466670;0,505641;0,536068;0,595328;0,785375;0,940507;0,346900
103;-1,000000;-0,881747;0,133369;0,264175;0,362495;0,423935;0,473417;0,511165;0,543073;0,611836;0,798976;0,940507;0,324069
104;-1,000000;-0,607294;0,151725;0,259824;0,359706;0,422493;0,477959;0,514460;0,540795;0,625033;0,805610;0,940507;0,355031
105;-1,000000;-0,472656;0,215111;0,334014;0,408508;0,466260;0,507134;0,528770;0,560569;0,641951;0,820023;0,940507;0,400968
106;-1,000000;-0,825061;0,164977;0,297153;0,383122;0,453311;0,493456;0,519637;0,543007;0,599522;0,796747;0,940507;0,342587
107;-1,000000;-0,567206;0,174474;0,294720;0,391263;0,455890;0,498134;0,523471;0,553054;0,636050;0,822374;0,940507;0,378222
108;-1,000000;-0,342636;0,198631;0,311444;0,402992;0,468024;0,508007;0,525771;0,547412;0,613144;0,804482;0,940507;0,403727
109;-1,000000;-0,477133;0,198462;0,304029;0,379542;0,440688;0,496481;0,516153;0,534667;0,583477;0,787459;0,940507;0,376382
110;-1,000000;-0,693066;0,153159;0,283726;0,362509;0,434259;0,496966;0,516796;0,534530;0,576475;0,780604;0,940507;0,344596
111;-1,000000;-0,442240;0,187653;0,325734;0,393398;0,469339;0,507587;0,522344;0,542281;0,603595;0,810980;0,940507;0,392067
112;-1,000000;-0,434513;0,244765;0,355596;0,411362;0,475944;0,511918;0,523805;0,543665;0,592394;0,800423;0,940507;0,402536
113;-1,000000;-0,481210;0,220988;0,341060;0,391215;0,469754;0,509511;0,523235;0,540974;0,588728;0,770623;0,940507;0,387488
114;-1,000000;-0,379149;0,232271;0,333389;0,402717;0,483073;0,513781;0,524086;0,540582;0,580036;0,769385;0,940507;0,400017
115;-1,000000;-0,487009;0,254948;0,341172;0,438602;0,497082;0,516659;0,525733;0,539899;0,589927;0,774279;0,940507;0,399129
116;-1,000000;-0,129265;0,289033;0,367248;0,446709;0,503698;0,517992;0,530365;0,552399;0,621640;0,785920;0,940507;0,448574
117;-1,000000;-0,454692;0,246840;0,372893;0,442867;0,487417;0,514437;0,525920;0,543200;0,606957;0,789980;0,940507;0,407582
118;-1,000000;-0,269371;0,272507;0,393223;0,450665;0,498880;0,517851;0,526467;0,542952;0,596206;0,786164;0,940507;0,431555
119;-1,000000;-0,169506;0,243768;0,371650;0,435472;0,493953;0,516502;0,527203;0,544599;0,598931;0,789651;0,940507;0,435222
120;-1,000000;-0,534378;0,179718;0,303956;0,410495;0,489109;0,513280;0,522157;0,540283;0,594317;0,802146;0,940507;0,382108
121;-1,000000;-0,359494;0,237958;0,365008;0,448055;0,496949;0,516279;0,524640;0,547053;0,602620;0,778130;0,940507;0,415720
122;-1,000000;-0,396545;0,248534;0,374668;0,457148;0,497919;0,513309;0,523333;0,541625;0,586861;0,755742;0,940507;0,410259
123;-1,000000;-0,220653;0,300356;0,413798;0,480556;0,506734;0,516349;0,526102;0,547935;0,608882;0,781284;0,940507;0,446135
124;-1,000000;-0,436311;0,236995;0,356082;0,435650;0,493635;0,512646;0,522956;0,544657;0,593163;0,754783;0,940507;0,401426
125;-1,000000;-0,661009;0,163067;0,351779;0,445133;0,494937;0,513177;0,523885;0,544844;0,599299;0,768738;0,940507;0,374385
126;-1,000000;-0,507297;0,182341;0,331838;0,430129;0,493967;0,516963;0,527877;0,552895;0,614245;0,790935;0,940507;0,393389
127;-1,000000;-0,447555;0,153379;0,296973;0,413568;0,491861;0,517395;0,528758;0,556627;0,623648;0,805223;0,940507;0,393987
128;-1,000000;-0,414630;0,177607;0,307859;0,393814;0,469016;0,511188;0,523855;0,545731;0,616017;0,804429;0,940507;0,393489
129;-1,000000;-0,381436;0,192357;0,326588;0,419701;0,489618;0,514152;0,526569;0,550506;0,646939;0,829458;0,940507;0,411445
130;-1,000000;-0,315491;0,213934;0,348582;0,441416;0,497933;0,517548;0,526264;0,542506;0,610835;0,791881;0,940507;0,417541
131;-1,000000;-0,397308;0,257989;0,357125;0,439185;0,495708;0,518393;0,529189;0,555687;0,641442;0,801132;0,940507;0,419854
132;-1,000000;-0,372709;0,244123;0,362555;0,461151;0,502850;0,519696;0,527841;0,547092;0,611816;0,787896;0,940507;0,419231
133;-1,000000;-0,173509;0,264126;0,380599;0,472330;0,505719;0,522831;0,537199;0,561045;0,648521;0,817197;0,940507;0,453606
134;-1,000000;-0,592970;0,247624;0,391941;0,473587;0,503293;0,520553;0,532515;0,549524;0,599492;0,793386;0,940507;0,401894
135;-1,000000;-0,259482;0,276328;0,389233;0,464333;0,500764;0,520327;0,530878;0,549203;0,596402;0,788320;0,940507;0,435631
136;-1,000000;-0,398150;0,260722;0,385192;0,462935;0,506333;0,523125;0,532746;0,553438;0,606811;0,794815;0,940507;0,422797
137;-1,000000;-0,160825;0,306851;0,417973;0,476186;0,515721;0,525215;0,534615;0,560927;0,612490;0,798650;0,940507;0,458780
138;-1,000000;-0,257032;0,307467;0,428389;0,495098;0,521258;0,528755;0,544288;0,576363;0,642585;0,813121;0,940507;0,460029
139;-1,000000;-0,293828;0,292628;0,413690;0,468453;0,511980;0,525979;0,542001;0,577912;0,642297;0,817125;0,940507;0,449824
140;-1,000000;-0,435280;0,241024;0,410032;0,479862;0,513833;0,526973;0,544862;0,587738;0,664059;0,828150;0,940507;0,436125
141;-1,000000;-0,177656;0,339182;0,443165;0,495520;0,521271;0,532326;0,550974;0,592484;0,665187;0,830121;0,940507;0,479257
142;-1,000000;-0,330012;0,332379;0,449965;0,507969;0,524558;0,536701;0,557706;0,598879;0,683885;0,841789;0,940507;0,470382
143;-1,000000;-0,052313;0,378113;0,454432;0,499413;0,522420;0,534107;0,556371;0,599032;0,694396;0,846015;0,940507;0,503199
144;-1,000000;-0,046156;0,327584;0,442611;0,487309;0,515132;0,530606;0,555973;0,614346;0,727765;0,858088;0,940507;0,501326
145;-1,000000;-0,245898;0,313512;0,427514;0,490342;0,518110;0,534636;0,571627;0,654922;0,749964;0,861805;0,940507;0,487654
146;-1,000000;-0,229786;0,307834;0,414560;0,491332;0,517851;0,531324;0,557357;0,633071;0,729577;0,846464;0,940507;0,479958
147;-1,000000;-0,043569;0,357905;0,451716;0,500006;0,522382;0,536489;0,558543;0,630703;0,733131;0,843636;0,940507;0,509094
148;-1,000000;-0,091232;0,385776;0,466480;0,508981;0,525600;0,542592;0,569705;0,640720;0,720538;0,832879;0,940507;0,510204
149;-1,000000;-0,197996;0,362705;0,464916;0,508407;0,527828;0,543851;0,565926;0,616238;0,702709;0,825117;0,940507;0,491970
150;-1,000000;-0,306438;0,302889;0,429060;0,499169;0,525674;0,539593;0,552315;0,591305;0,683747;0,810508;0,940507;0,462782
151;-1,000000;-0,086081;0,364908;0,476370;0,515546;0,528302;0,540158;0,554064;0,594951;0,697177;0,815192;0,940507;0,500059
152;-1,000000;-0,107288;0,340384;0,454500;0,500869;0,522692;0,539359;0,552231;0,589759;0,687792;0,811063;0,940507;0,489136
153;-1,000000;-0,261629;0,300336;0,430683;0,497077;0,522786;0,540201;0,554231;0,601707;0,699288;0,826274;0,940507;0,471095
154;-1,000000;-0,037544;0,385890;0,490035;0,516113;0,531923;0,547341;0,571312;0,631022;0,728565;0,839485;0,940507;0,520414
155;-1,000000;-0,104130;0,369074;0,479807;0,516254;0,532139;0,545389;0,564117;0,620490;0,697548;0,831736;0,940507;0,505242
156;-1,000000;-0,007598;0,334084;0,461291;0,509227;0,528946;0,545723;0,569475;0,627713;0,720609;0,840319;0,940507;0,512979
157;-1,000000;-0,205133;0,270113;0,395279;0,482960;0,520852;0,539326;0,558708;0,614538;0,725894;0,833868;0,940507;0,473640
158;-1,000000;0,115326;0,363897;0,462649;0,512629;0,531699;0,546042;0,576472;0,638341;0,739360;0,844369;0,940507;0,533078
159;-1,000000;-0,107507;0,306076;0,422175;0,494719;0,529672;0,545591;0,571356;0,645590;0,740254;0,842804;0,940507;0,499073
160;-1,000000;-0,185006;0,246842;0,391676;0,480876;0,526158;0,544238;0,568212;0,627939;0,719194;0,829683;0,940507;0,474981
161;-1,000000;-0,115083;0,292223;0,440371;0,503901;0,530322;0,544433;0,570089;0,642715;0,730941;0,844439;0,940507;0,498435
162;-1,000000;0,001548;0,409522;0,492900;0,524721;0,537457;0,549853;0,596074;0,670987;0,767616;0,866243;0,940507;0,541692
163;-1,000000;-0,130478;0,405852;0,484782;0,523221;0,538165;0,553707;0,607292;0,691898;0,773222;0,861921;0,940507;0,530958
164;-1,000000;-0,113778;0,338768;0,445489;0,497364;0,527867;0,541866;0,562331;0,643412;0,746220;0,848531;0,940507;0,503807
165;-1,000000;-0,257220;0,271194;0,412599;0,479485;0,521154;0,537850;0,562139;0,654361;0,748650;0,844827;0,940507;0,477504
166;-1,000000;-0,133058;0,281908;0,436896;0,492072;0,527845;0,544954;0,610221;0,678724;0,757669;0,846790;0,940507;0,504402
167;-1,000000;-0,232529;0,265715;0,414958;0,473209;0,517714;0,536814;0,578896;0,658169;0,737429;0,841458;0,940507;0,479183
168;-1,000000;-0,004916;0,343302;0,442884;0,484363;0,522265;0,541734;0,593039;0,661463;0,744503;0,846934;0,940507;0,517557
169;-1,000000;-0,248468;0,335077;0,453507;0,501398;0,536473;0,562375;0,615246;0,681693;0,764620;0,860309;0,940507;0,506223
170;-1,000000;-0,036264;0,356518;0,452923;0,502692;0,534428;0,563220;0,627495;0,704358;0,784005;0,859207;0,940507;0,534858
171;-1,000000;-0,029838;0,373870;0,464556;0,519283;0,542393;0,577624;0,644925;0,706176;0,782751;0,857756;0,940507;0,543950
172;-1,000000;0,083837;0,400581;0,467694;0,515216;0,543777;0,586227;0,648029;0,707414;0,780957;0,849568;0,940507;0,558330
173;-1,000000;0,051018;0,381288;0,465551;0,516149;0,541770;0,585636;0,642852;0,714442;0,783089;0,851553;0,940507;0,553335
174;-1,000000;-0,089460;0,374983;0,458961;0,512581;0,538561;0,562796;0,619136;0,674468;0,764055;0,844584;0,940507;0,526066
175;-1,000000;-0,042349;0,410595;0,489989;0,527814;0,547650;0,581163;0,628727;0,677858;0,757418;0,848087;0,940507;0,542695
176;-1,000000;0,063979;0,393086;0,479789;0,522063;0,545049;0,582015;0,635534;0,704407;0,773829;0,852214;0,940507;0,555197
177;-1,000000;0,150838;0,388541;0,478222;0,519619;0,542106;0,570897;0,631939;0,696613;0,749175;0,835299;0,940507;0,556325
178;-1,000000;0,086658;0,421008;0,490791;0,523471;0,542637;0,578742;0,643424;0,705831;0,759836;0,843908;0,940507;0,559630
179;-1,000000;0,158631;0,417981;0,477991;0,516485;0,541137;0,567632;0,633414;0,703133;0,761272;0,851564;0,940507;0,562924
180;-1,000000;0,050438;0,394388;0,468207;0,508299;0,531808;0,552230;0,599090;0,677500;0,751862;0,852352;0,940507;0,538617
181;-1,000000;0,031111;0,417186;0,474279;0,515478;0,535326;0,567638;0,619812;0,690685;0,758378;0,851895;0,940507;0,546179
