Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
80;0,352000;0,712800;0,831200;0,839600;0,845600;0,863600;0,882400;0,894000;0,896000;0,903600;0,919200;0,928000;0,858800
81;0,448000;0,710000;0,830000;0,840000;0,845200;0,860400;0,874000;0,889200;0,896000;0,900400;0,914400;0,928000;0,855960
82;0,272000;0,589600;0,830400;0,840000;0,844800;0,856000;0,876000;0,892400;0,896000;0,903600;0,914400;0,928000;0,844320
83;0,336000;0,635200;0,822400;0,838400;0,841600;0,856800;0,873600;0,891200;0,896000;0,899200;0,912400;0,928000;0,846680
84;0,328000;0,643600;0,830800;0,840000;0,852400;0,866000;0,884800;0,894400;0,896000;0,897200;0,909600;0,928000;0,851480
85;0,328000;0,497200;0,821200;0,838000;0,854000;0,869200;0,890000;0,896000;0,896000;0,897600;0,912400;0,928000;0,837160
86;0,328000;0,607600;0,825200;0,839200;0,851200;0,873600;0,890800;0,896000;0,896000;0,901200;0,914000;0,928000;0,849480
87;0,328000;0,552400;0,821200;0,837200;0,851600;0,872800;0,891200;0,896000;0,896000;0,900400;0,913200;0,928000;0,843200
88;0,352000;0,616400;0,829200;0,839200;0,850400;0,866800;0,880800;0,892800;0,896000;0,901200;0,916400;0,928000;0,848920
89;0,344000;0,561200;0,827600;0,838400;0,843600;0,862800;0,883600;0,894800;0,896000;0,900400;0,918000;0,928000;0,842640
90;0,328000;0,567200;0,829200;0,838000;0,847600;0,870000;0,883600;0,894800;0,896000;0,900800;0,920400;0,928000;0,844760
91;0,328000;0,514800;0,720000;0,834400;0,843600;0,861200;0,876800;0,892400;0,896000;0,897600;0,914800;0,928000;0,825160
92;0,400000;0,566800;0,811600;0,841600;0,855600;0,872400;0,889600;0,896000;0,896000;0,898400;0,917600;0,928000;0,844560
93;0,384000;0,647200;0,833600;0,843600;0,864800;0,880400;0,892000;0,896000;0,896000;0,899600;0,915200;0,928000;0,856840
94;0,456000;0,670400;0,835600;0,841600;0,857200;0,881600;0,894400;0,896000;0,896000;0,901600;0,918800;0,928000;0,859320
95;0,352000;0,685600;0,837200;0,840800;0,852000;0,874400;0,892400;0,896000;0,896000;0,900800;0,918400;0,928000;0,859360
96;0,272000;0,706800;0,838000;0,847200;0,870000;0,892800;0,896000;0,896000;0,896000;0,903200;0,919600;0,928000;0,866560
97;0,352000;0,768400;0,835600;0,850400;0,880000;0,895600;0,896000;0,896000;0,897600;0,904000;0,917200;0,928000;0,874080
98;0,344000;0,669600;0,838000;0,861200;0,885600;0,896000;0,896000;0,896000;0,902000;0,904000;0,919200;0,928000;0,866760
99;0,352000;0,652000;0,840800;0,863600;0,884000;0,894000;0,896000;0,896000;0,902800;0,904000;0,915600;0,928000;0,864880
